target,class,split,count,pct,check,mean,std,min,max,median,q1,q3,missing_count,infinite_count
abnormal_return_3d,ALL,YEAR_2015,44,100.0,yearly_stats,0.00145,0.032326,-0.080659,0.096379,0.008062,-0.018088,0.019651,0.0,0.0
abnormal_return_3d,ALL,YEAR_2016,176,100.0,yearly_stats,-0.001155,0.027358,-0.060352,0.107747,-0.001761,-0.019254,0.014534,0.0,0.0
abnormal_return_3d,ALL,YEAR_2017,179,100.0,yearly_stats,0.001119,0.029635,-0.08676,0.083284,-0.002122,-0.015239,0.015623,0.0,0.0
abnormal_return_3d,ALL,YEAR_2018,184,100.0,yearly_stats,0.002747,0.032851,-0.070943,0.14785,-0.000987,-0.016402,0.016869,0.0,0.0
abnormal_return_3d,ALL,YEAR_2019,183,100.0,yearly_stats,0.003719,0.031019,-0.078677,0.186006,0.00197,-0.014473,0.01877,0.0,0.0
abnormal_return_3d,ALL,YEAR_2020,186,100.0,yearly_stats,0.006075,0.036905,-0.092839,0.136873,0.00312,-0.013425,0.023918,0.0,0.0
abnormal_return_3d,ALL,YEAR_2021,190,100.0,yearly_stats,0.002778,0.030177,-0.087476,0.13161,0.00091,-0.012222,0.01592,0.0,0.0
abnormal_return_3d,ALL,YEAR_2022,110,100.0,yearly_stats,-0.003961,0.0283,-0.114924,0.10427,-0.005647,-0.019049,0.00969,0.0,0.0
abnormal_return_3d,ALL,YEAR_2023,196,100.0,yearly_stats,0.002286,0.022329,-0.074271,0.087865,0.001767,-0.010463,0.012766,0.0,0.0
abnormal_return_3d,ALL,YEAR_2024,200,100.0,yearly_stats,0.003351,0.02905,-0.065186,0.130851,-0.000605,-0.014983,0.019899,0.0,0.0
abnormal_return_3d,ALL,YEAR_2025,155,100.0,yearly_stats,-0.002601,0.021442,-0.061301,0.052997,-0.003315,-0.017824,0.009811,0.0,0.0
abnormal_return_3d,ALL,YEAR_2026,89,100.0,yearly_stats,0.001544,0.022832,-0.040343,0.093195,0.000635,-0.013211,0.013913,0.0,0.0
abnormal_return_3d,ALL,TRAIN,1142,100.0,split_stats,0.002544,0.03153,-0.092839,0.186006,5.1e-05,-0.015549,0.017532,0.0,0.0
abnormal_return_3d,ALL,VAL,356,100.0,split_stats,-0.000368,0.024191,-0.114924,0.10427,-0.001124,-0.013997,0.011388,0.0,0.0
abnormal_return_3d,ALL,TEST,394,100.0,split_stats,0.001391,0.026057,-0.065186,0.130851,-0.000685,-0.01573,0.016344,0.0,0.0
abnormal_return_5d,ALL,OVERALL,1890,99.89,overall_stats,0.0016,0.036503,-0.206944,0.187993,-0.000681,-0.020725,0.019767,2.0,0.0
